article,longdescription
FL-FC086b,"Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
"
FL-FC086g,"Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
"
FL-FC086o,"Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
Радиоуправляемая модель скоростной мини багги Fei Lun FC086 в масштабе 1:32. Максимальная скорость багги Fei Lun - 22 км/час^ но главная её особенность - пропорциональное управление скоростью. Скорость плавно изменяется в зависимости от силы нажатия на курок газа пульта управления. Таким образом управлять машинкой можно дома и на улице^ по скользкой поверхности и по ковру^ по асфальту и бездорожью - разгоняясь до той скорости^ при которой модель будет держать сцепление и уверенно ехать.

Радиоуправляемая багги Fei Lun работает на помехозащищённой современной частоте 2.4GHz^ что исключает помехи^ увеличивает дистанцию управления^ и самое важное - позволяет управлять многими моделями одновременно^ не пересекаясь друг с другом. Возможность нескольким машинкам ездить одновременно выводит интерес к игре на новый уровень^ позволяя соревноваться и устраивать увлекательные гонки.

Среди прочих достоинств модели можно выделить резиновые колеса и пружинную подвеску^ которые обеспечивают максимальный контакт с трассой^ хорошее сцепление и^ как следствие^ хорошую управляемость.

Радиоуправляемая модель багги Fei Lun 1/32 имеет богатую комплектацию. Кроме стандартных комплектующих - пульта дистанционного управления и зарядного устройства от USB^ машинка укомплектована мобильным зарядным устройством на пальчиковых батарейках^ трамплином для совершения прыжков и батарейкой ""Крона"" для пульта управления.
"
GWT2008D-1,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-2,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-3,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-4,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-5,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-6,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-7,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
GWT2008D-8,"Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям.Полнофункциональный качественный джип на радиоуправлении масштаба 1/43 в подарочной упаковке.

Отличительными особенностями являются быстрая зарядка от пульта управления и четыре радио частоты управления. С несколькими такими машинками на разных частотах можно сделать мини трассу в офисе или дома и устраивать настоящие гонки с одновременным участием до четырёх машин! 

Светящиеся фары и большие резиновые колёса придают особую реалистичность^ несмотря на микро размер. Высокий дорожный просвет и подвеска позволяют ездить по неровным поверхностям."
SQW8004-370Zb,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
