article,longdescription
SQW8004-370Zw,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-FJb,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-Fjy,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-GT500g,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-GT500r,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-GTg,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-GTr,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-H2r,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-H2y,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-LP560o,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-LP560y,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-LP670b,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-LP670y,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-X6b,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
SQW8004-X6w,"Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары.Копии популярных автомобилей в масштабе 1/43 на радиоуправлении выполненные по официальной лицензии автопроизводителей. Встроенный аккумулятор заряжается от пульта управления всего за несколько минут.

Очень качественные^ быстрые и манёвренные машинки на радиоуправлении из серии ""микро""^ отличительными особенностями которых являются быстрая зарядка от пульта управления и несколько радио частот управления. Купив несколько таких машинок на разных частотах^ можно сделать мини трассу дома или в офисе и устраивать настоящие гонки с одновременным участием до двух машин. 

Пятиканальное управление даёт возможность ехать вперёд^ назад^ поворачивать влево^ вправо и ехать с ускорением. Во время движения светятся фары."
WL-2019blk,"Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры.Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры."
WL-2019blu,"Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры.Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры."
WL-2019red,"Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры.Скоростная радиоуправляемая машинка мини трагги WLToys 2019 - самая высокотехнологичная из моделей на радиоуправлении серии ""микро""^ основными преимуществами которых являются быстрый заряд и несколько радио частот управления. 

Модель радиоуправляемой трагги WLToys 2019 (""mini Traxxas"") выделяет наличие двух режимов работы: пропорциональное управление скоростью и ручное переключение скоростей. В режиме ручного переключения можно выбрать одну из 5 скоростей наиболее подходящую для вашей трассы. В режиме пропорционального управления скоростью можно плавно ускорять или замедлять машинку на разных участках трассы. 
Эта микро машинка способна развивать невероятно высокие скорости^ по хорошему покрытию - до 25-30 км/час! Такие скорости возможны благодаря мощному двигателю и ёмкому Li-Pol аккумулятору.
Подвеска^ резиновые колёса с протекторами и высокий клиренс позволяют ездить по бездорожью и прыгать на трамплинах^ выполняя различные фигуры."
WL-2308b,Скоростная радиоуправляемая машинка WL Toys 2308 в масштабе 1:32. Уникальная двусторонняя форма корпуса и большие колёса позволяют ездить перевёрнутой и сохранять управляемость в любом положении. Два режима помогают выбрать оптимальную скорость для разных покрытий.
WL-2308r,Скоростная радиоуправляемая машинка WL Toys 2308 в масштабе 1:32. Уникальная двусторонняя форма корпуса и большие колёса позволяют ездить перевёрнутой и сохранять управляемость в любом положении. Два режима помогают выбрать оптимальную скорость для разных покрытий.
